"Gene","Gene.synonym","Ensembl","Gene.description","Uniprot","Chromosome","Position","Protein.class","Biological.process","Molecular.function","Disease.involvement","Evidence","HPA.evidence","UniProt.evidence","NeXtProt.evidence","RNA.tissue.specificity","RNA.tissue.distribution","RNA.tissue.specificity.score","RNA.tissue.specific.nTPM","RNA.single.cell.type.specificity","RNA.single.cell.type.distribution","RNA.single.cell.type.specificity.score","RNA.single.cell.type.specific.nTPM","RNA.cancer.specificity","RNA.cancer.distribution","RNA.cancer.specificity.score","RNA.cancer.specific.FPKM","RNA.brain.regional.specificity","RNA.brain.regional.distribution","RNA.brain.regional.specificity.score","RNA.brain.regional.specific.nTPM","RNA.blood.cell.specificity","RNA.blood.cell.distribution","RNA.blood.cell.specificity.score","RNA.blood.cell.specific.nTPM","RNA.blood.lineage.specificity","RNA.blood.lineage.distribution","RNA.blood.lineage.specificity.score","RNA.blood.lineage.specific.nTPM","RNA.cell.line.specificity","RNA.cell.line.distribution","RNA.cell.line.specificity.score","RNA.cell.line.specific.nTPM","RNA.tissue.cell.type.enrichment","RNA.mouse.brain.regional.specificity","RNA.mouse.brain.regional.distribution","RNA.mouse.brain.regional.specificity.score","RNA.mouse.brain.regional.specific.nTPM","RNA.pig.brain.regional.specificity","RNA.pig.brain.regional.distribution","RNA.pig.brain.regional.specificity.score","RNA.pig.brain.regional.specific.nTPM","Antibody","Reliability..IH.","Reliability..Mouse.Brain.","Reliability..IF.","Subcellular.location","Secretome.location","CCD.Protein","CCD.Transcript","Blood.concentration...Conc..blood.IM..pg.L.","Blood.concentration...Conc..blood.MS..pg.L.","Blood.expression.cluster","Tissue.expression.cluster","Cell.line.expression.cluster","Single.cell.expression.cluster","Subcellular.main.location","Subcellular.additional.location","Antibody.RRID","Pathology.prognostics...Breast.cancer","Pathology.prognostics...Cervical.cancer","Pathology.prognostics...Colorectal.cancer","Pathology.prognostics...Endometrial.cancer","Pathology.prognostics...Glioma","Pathology.prognostics...Head.and.neck.cancer","Pathology.prognostics...Liver.cancer","Pathology.prognostics...Lung.cancer","Pathology.prognostics...Melanoma","Pathology.prognostics...Ovarian.cancer","Pathology.prognostics...Pancreatic.cancer","Pathology.prognostics...Prostate.cancer","Pathology.prognostics...Renal.cancer","Pathology.prognostics...Stomach.cancer","Pathology.prognostics...Testis.cancer","Pathology.prognostics...Thyroid.cancer","Pathology.prognostics...Urothelial.cancer","ARCHS4","GTEx","TabulaSapiens","n","Transcript","CellAge","SenMayo","AgedTissue","DiseaseTissue"
"SEMA3A","coll-1, Hsema-I, SEMA1, SEMAD, SemD","ENSG00000075213","Semaphorin 3A","Q14563","7","83955777-84492724","Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Differentiation, Neurogenesis","Developmental protein","Disease variant, Hypogonadotropic hypogonadism, Kallmann syndrome","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"retina: 22.6","Cell type enhanced","Detected in many",NA,"Astrocytes: 56.6;Cone photoreceptor cells: 24.1;Excitatory neurons: 88.4;Horizontal cells: 25.6;Rod photoreceptor cells: 66.2","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in many",NA,"","Immune cell enriched","Detected in single",5,"non-classical monocyte: 1.5","Lineage enriched","Detected in single",16,"monocytes: 1.5","Low cancer specificity","Detected in all",NA,"","","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in many",NA,"","HPA029447, HPA052235","Approved","","Approved","Vesicles","Secreted in other tissues",NA,NA,NA,1600000,"Cluster 7: Monocytes - Unknown function","Cluster 77: Retina - Visual perception","Cluster 34: Rabdoid cancer - Embryonic development","Cluster 66: Endothelial cells - Angiogenesis","Vesicles","","HPA029447: AB_10602302, HPA052235: AB_2681770","unprognostic (1.20e-1)","prognostic unfavorable (2.69e-5)","unprognostic (1.51e-1)","unprognostic (5.82e-2)","unprognostic (1.37e-2)","unprognostic (5.98e-3)","unprognostic (2.92e-3)","unprognostic (6.05e-3)","unprognostic (1.13e-1)","unprognostic (2.48e-1)","unprognostic (1.46e-1)","unprognostic (4.44e-2)","unprognostic (6.18e-12)","unprognostic (3.26e-2)","unprognostic (2.41e-2)","unprognostic (1.61e-2)","unprognostic (1.47e-4)",3,2,9,14,"ENST00000436949",0,0,"Blood.Vessel",NA
"SERPINE1","PAI, PAI1, PLANH1","ENSG00000106366","Serpin family E member 1","P05121","7","101127104-101139247","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins","","Protease inhibitor, Serine protease inhibitor","Cancer-related genes, FDA approved drug targets","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"placenta: 418.0","Group enriched","Detected in many",4,"Fibroblasts: 205.9;Pancreatic endocrine cells: 472.3;Syncytiotrophoblasts: 748.4","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Immune cell enriched","Detected in single",20,"NK-cell: 9.5","Lineage enriched","Detected in single",20,"NK-cells: 9.5","Cancer enhanced","Detected in all",NA,"Kidney cancer: 1244.1","Colon - Neutrophils","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in many",NA,"","CAB068501","Uncertain","","","","Secreted to blood",NA,"No",1.42e+08,1.3e+07,"Cluster 22: NK-cells - Unknown function","Cluster 86: Liver & Placenta - Transport via ER","Cluster 20: Connective tissue cells - ECM organization","Cluster 74: Pancreatic cells - Mixed function","","","CAB068501: AB_1642775","unprognostic (5.02e-2)","prognostic unfavorable (5.01e-4)","prognostic unfavorable (2.82e-4)","unprognostic (2.10e-2)","unprognostic (9.04e-3)","prognostic unfavorable (2.84e-5)","unprognostic (6.80e-3)","prognostic unfavorable (4.41e-6)","unprognostic (2.33e-1)","unprognostic (1.45e-1)","unprognostic (2.88e-3)","unprognostic (1.58e-1)","prognostic unfavorable (5.88e-8)","prognostic unfavorable (3.27e-6)","unprognostic (1.05e-1)","unprognostic (4.33e-2)","prognostic unfavorable (5.51e-4)",8,0,12,20,NA,0,1,"Blood.Vessel; Brain",NA
"SERPINE2","GDN, nexin, PI7, PN1, PNI","ENSG00000135919","Serpin family E member 2","P07093","2","223975045-224039318","Plasma proteins, Predicted secreted proteins","Differentiation, Neurogenesis","Developmental protein, Heparin-binding, Protease inhibitor, Serine protease inhibitor","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in all",7,"placenta: 1091.9","Cell type enriched","Detected in many",7,"Granulosa cells: 4370.2","Cancer enriched","Detected in all",9,"melanoma: 271.6","Low region specificity","Detected in all",NA,"","Group enriched","Detected in some",12,"naive CD4 T-cell: 12.9;naive CD8 T-cell: 6.8;NK-cell: 23.2","Group enriched","Detected in many",15,"NK-cells: 23.2;T-cells: 12.9","Cancer enriched","Detected in all",5,"skin cancer: 2476.4","Liver - Hepatic stellate cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA000277","","","Approved","Golgi apparatus","Secreted in female reproductive system",NA,NA,NA,910000,"Cluster 48: NK-cells - Unknown function","Cluster 28: Placenta - Pregnancy","Cluster 33: Skin cancer - Membrane components","Cluster 17: Granulosa cells - Transcription regulation","Golgi apparatus","","HPA000277: ","unprognostic (1.73e-1)","unprognostic (7.08e-3)","unprognostic (8.49e-2)","unprognostic (7.78e-3)","unprognostic (2.57e-3)","unprognostic (5.57e-2)","unprognostic (1.49e-2)","unprognostic (7.43e-3)","unprognostic (4.41e-1)","unprognostic (7.12e-2)","unprognostic (7.56e-3)","unprognostic (2.40e-1)","unprognostic (1.97e-3)","unprognostic (1.23e-2)","unprognostic (1.31e-1)","unprognostic (6.18e-2)","prognostic unfavorable (6.48e-5)",2,0,9,11,"ENST00000478966",0,1,NA,"Idiopathic.Pulmonary.Fibrosis; Heart.Failure"
"SFRP1","FRP, FRP-1, SARP2","ENSG00000104332","Secreted frizzled related protein 1","Q8N474","8","41261962-41309473","Predicted intracellular proteins, Predicted secreted proteins","Differentiation, Wnt signaling pathway","Developmental protein","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"breast: 299.3;choroid plexus: 509.2","Cell type enhanced","Detected in many",NA,"Breast glandular cells: 756.9;Breast myoepithelial cells: 1192.4;Cardiomyocytes: 308.6;Leydig cells: 606.9;Serous glandular cells: 437.9","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Group enriched","Detected in many",5,"breast cancer: 115.5;Neuroblastoma: 67.0;skin cancer: 78.8;testis cancer: 264.7;thyroid cancer: 81.2","Heart muscle - Cardiomyocytes, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Pancreas - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Eccrine sweat gland cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","CAB008116","Approved","","","","Secreted in other tissues",NA,"No",NA,1300000,"","Cluster 42: Ciliated cells - Cilium & Cell projection","Cluster 20: Connective tissue cells - ECM organization","Cluster 21: Serous glandular cells - Salivary secretion","","","CAB008116: AB_2187070","unprognostic (1.23e-3)","unprognostic (7.01e-2)","unprognostic (2.14e-1)","unprognostic (3.59e-1)","unprognostic (7.13e-2)","prognostic favorable (1.55e-4)","unprognostic (1.79e-1)","unprognostic (2.69e-3)","unprognostic (2.15e-2)","unprognostic (4.67e-3)","unprognostic (3.52e-3)","unprognostic (4.74e-2)","unprognostic (1.72e-2)","unprognostic (1.75e-2)","unprognostic (1.28e-1)","unprognostic (2.57e-1)","prognostic unfavorable (3.12e-4)",9,0,9,18,NA,0,0,"Muscle",NA
"SPARC","BM-40, ON, ONT","ENSG00000113140","Secreted protein acidic and cysteine rich","P09486","5","151661096-151686975","Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","Cancer-related genes, Disease variant, Osteogenesis imperfecta","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"placenta: 2184.6","Cell type enhanced","Detected in many",NA,"Adipocytes: 690.5;Endometrial stromal cells: 1211.8;Endothelial cells: 711.5;Fibroblasts: 1071.9;Peritubular cells: 1109.1;Schwann cells: 921.2;Sertoli cells: 1409.7;Smooth muscle cells: 1089.7;Theca cells: 924.5","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Group enriched","Detected in many",5,"basophil: 10.4;classical monocyte: 8.7;neutrophil: 24.3","Group enriched","Detected in many",7,"granulocytes: 24.3;monocytes: 8.7","Cancer enhanced","Detected in all",NA,"Brain cancer: 2554.7;skin cancer: 2512.0","Colon - Enteric glia cells, Prostate - Fibroblasts, Skin - Fibroblast_1","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","CAB002306, HPA002989, HPA003020","Supported","","Approved","Vesicles","Secreted to blood",NA,NA,8300000,1.3e+08,"Cluster 34: Basophils - Unknown function","Cluster 57: Non-specific - Angiogenesis","Cluster 20: Connective tissue cells - ECM organization","Cluster 53: Connective tissue cells - ECM organization","Vesicles","","CAB002306: AB_563919, HPA002989: AB_1079532, HPA003020: AB_1079531","unprognostic (3.34e-2)","unprognostic (8.57e-2)","unprognostic (1.31e-1)","unprognostic (3.97e-1)","unprognostic (7.01e-2)","unprognostic (1.49e-1)","unprognostic (2.05e-1)","unprognostic (8.36e-3)","unprognostic (5.27e-2)","unprognostic (1.22e-1)","unprognostic (4.09e-2)","unprognostic (1.78e-1)","prognostic unfavorable (3.53e-5)","unprognostic (2.59e-3)","unprognostic (1.17e-2)","unprognostic (3.53e-1)","unprognostic (4.93e-3)",0,0,12,12,"ENST00000539687",1,0,NA,NA
"STC1","STC","ENSG00000159167","Stanniocalcin 1","P52823","8","23841929-23854806","Predicted intracellular proteins, Predicted secreted proteins","","Hormone","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"thyroid gland: 64.3","Cell type enhanced","Detected in many",NA,"Adipocytes: 166.0;Collecting duct cells: 72.9;Endometrial ciliated cells: 84.2;Endothelial cells: 178.7;Glandular and luminal cells: 306.8;Theca cells: 151.6","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"Sarcoma: 56.9","","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in many",NA,"","CAB018625, HPA023918","Approved","","","","Secreted in other tissues",NA,NA,NA,240000,"","Cluster 82: Adipose tissue - ECM organization","Cluster 3: HUVEC & TIME - Signal transduction","Cluster 14: Endometrium - Transcription regulation","","","CAB018625: AB_2197536, HPA023918: AB_1857566","unprognostic (1.18e-1)","prognostic unfavorable (8.45e-4)","unprognostic (3.58e-2)","unprognostic (2.13e-1)","prognostic unfavorable (6.44e-5)","prognostic unfavorable (6.32e-4)","unprognostic (2.84e-2)","prognostic unfavorable (1.53e-4)","unprognostic (4.82e-2)","unprognostic (1.44e-2)","unprognostic (7.61e-2)","unprognostic (1.60e-1)","prognostic unfavorable (1.23e-6)","prognostic unfavorable (5.55e-4)","unprognostic (2.79e-1)","unprognostic (1.19e-3)","unprognostic (8.95e-3)",10,0,7,17,NA,1,0,"Blood.Vessel; Heart; Muscle",NA
"STC2","STC-2","ENSG00000113739","Stanniocalcin 2","O76061","5","173314723-173328447","Predicted intracellular proteins, Predicted secreted proteins","","Hormone","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in many",4,"breast: 143.6","Cell type enhanced","Detected in many",NA,"Breast glandular cells: 239.4;Breast myoepithelial cells: 120.9;Exocrine glandular cells: 41.5;Extravillous trophoblasts: 63.8;Pancreatic endocrine cells: 53.2","Cancer enriched","Detected in all",6,"breast cancer: 91.4","Low region specificity","Detected in many",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Low cancer specificity","Detected in all",NA,"","Skin - Macrophages","Low region specificity","Detected in single",NA,"","Low region specificity","Detected in some",NA,"","HPA045372","Approved","","Approved","Endoplasmic reticulum","Secreted in other tissues",NA,NA,NA,1.9e+07,"","Cluster 5: Breast - Unknown function","Cluster 20: Connective tissue cells - ECM organization","Cluster 73: Prostatic glandular cells - Transcription","Endoplasmic reticulum","","HPA045372: AB_10961040","prognostic favorable (7.40e-5)","unprognostic (2.40e-2)","unprognostic (9.03e-3)","unprognostic (1.21e-1)","unprognostic (1.89e-3)","prognostic unfavorable (1.76e-6)","prognostic unfavorable (3.07e-5)","unprognostic (5.28e-3)","unprognostic (6.12e-3)","unprognostic (1.53e-1)","unprognostic (2.13e-1)","unprognostic (3.19e-1)","prognostic unfavorable (4.17e-8)","prognostic unfavorable (7.57e-4)","unprognostic (8.56e-2)","unprognostic (5.06e-2)","unprognostic (7.93e-3)",9,8,12,29,"ENST00000519511",1,0,NA,NA
"TEK","CD202b, TIE-2, TIE2, VMCM, VMCM1","ENSG00000120156","TEK receptor tyrosine kinase","Q02763","9","27109141-27230174","Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins","Angiogenesis","Kinase, Receptor, Transferase, Tyrosine-protein kinase","Cancer-related genes, Disease variant, FDA approved drug targets, Glaucoma","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"placenta: 46.3","Group enriched","Detected in some",6,"Adipocytes: 67.9;Endothelial cells: 76.7;Microglial cells: 37.4;Oligodendrocyte precursor cells: 131.9","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Group enriched","Detected in many",6,"Rhabdoid: 16.9;testis cancer: 18.3","Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Liver - Sinusoid Endothelial cells, Lung - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Stomach - Endothelial cells, Testis - Endothelial cells, Thyroid - Endothelial cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","CAB010359, HPA073265","Approved","","Supported","Plasma membrane,Centriolar satellite","Secreted to blood",NA,NA,7750000,1.3e+07,"Cluster 9: Neutrophils - Innate immune response","Cluster 82: Adipose tissue - ECM organization","Cluster 3: HUVEC & TIME - Signal transduction","Cluster 66: Endothelial cells - Angiogenesis","Plasma membrane","Centriolar satellite","CAB010359: AB_2203226, HPA073265: AB_2686592","unprognostic (2.24e-1)","unprognostic (1.74e-1)","unprognostic (5.55e-2)","unprognostic (1.83e-2)","unprognostic (1.68e-1)","unprognostic (1.26e-3)","prognostic favorable (2.31e-5)","unprognostic (7.48e-2)","unprognostic (1.72e-2)","unprognostic (1.41e-1)","unprognostic (5.58e-2)","unprognostic (2.72e-1)","prognostic favorable (7.81e-4)","unprognostic (7.50e-3)","unprognostic (6.87e-3)","unprognostic (1.83e-1)","unprognostic (5.24e-3)",9,0,6,15,"ENST00000406359",0,0,NA,NA
"TFPI2","PP5, REF1, TFPI-2","ENSG00000105825","Tissue factor pathway inhibitor 2","P48307","7","93885396-93890753","Predicted intracellular proteins, Predicted secreted proteins","Blood coagulation, Hemostasis","Protease inhibitor, Serine protease inhibitor","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in many",12,"placenta: 954.6","Cell type enhanced","Detected in many",NA,"Ductal cells: 1245.7;Glandular and luminal cells: 554.1;Pancreatic endocrine cells: 441.4;Syncytiotrophoblasts: 2047.0","Cancer enhanced","Detected in all",NA,"renal cancer: 65.9","Low region specificity","Detected in many",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in all",NA,"thyroid cancer: 892.8","Adipose subcutaneous - Endothelial cells, Adipose visceral - Mesothelial cells, Liver - Vascular Endothelial cells, Pancreas - Ductal cells","Not detected","Not detected",NA,"","Region enhanced","Detected in all",NA,"spinal cord: 29.7","CAB010142, HPA049158, HPA070525","Enhanced","","","","Secreted to extracellular matrix",NA,NA,NA,51000,"","Cluster 28: Placenta - Pregnancy","Cluster 37: Ovarian cancer RMG-I - Cellular stress response","Cluster 67: Syncytiotrophoblasts - Pregnancy","","","CAB010142: AB_628166, HPA049158: AB_2680659, HPA070525: ","prognostic favorable (8.33e-7)","unprognostic (2.20e-2)","unprognostic (2.10e-2)","prognostic favorable (5.42e-4)","unprognostic (5.19e-3)","unprognostic (3.98e-2)","unprognostic (1.38e-1)","unprognostic (2.72e-2)","unprognostic (1.15e-2)","unprognostic (6.86e-2)","unprognostic (7.54e-3)","unprognostic (7.01e-2)","prognostic unfavorable (8.53e-4)","unprognostic (3.38e-3)","unprognostic (3.65e-2)","unprognostic (1.97e-1)","unprognostic (7.91e-2)",5,4,2,11,NA,0,0,NA,NA
"TGFBI","BIGH3, CDB1, CDGG1, CSD1, CSD2, CSD3, LCD1","ENSG00000120708","Transforming growth factor beta induced","Q15582","5","136028988-136063818","Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Cell adhesion, Sensory transduction, Vision","","Amyloidosis, Corneal dystrophy, Disease variant","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"placenta: 457.6","Cell type enhanced","Detected in many",NA,"dendritic cells: 342.9;Exocrine glandular cells: 348.9;Fibroblasts: 230.1;Hofbauer cells: 281.9;Kupffer cells: 193.4;Langerhans cells: 261.6;Macrophages: 234.6;Pancreatic endocrine cells: 736.8","Low cancer specificity","Detected in all",NA,"","Region enhanced","Detected in all",NA,"thalamus: 77.3","Group enriched","Detected in many",32,"classical monocyte: 252.3;intermediate monocyte: 149.1;myeloid DC: 156.9;non-classical monocyte: 121.4;plasmacytoid DC: 324.5","Group enriched","Detected in all",46,"dendritic cells: 324.5;monocytes: 252.3","Cancer enhanced","Detected in all",NA,"Kidney cancer: 2229.1","Heart muscle - Fibroblasts","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in many",NA,"","HPA008612, HPA017019","Enhanced","","","","Secreted to blood",NA,NA,NA,1.6e+09,"Cluster 25: Monocytes - Inflammatory response","Cluster 28: Placenta - Pregnancy","Cluster 68: Kidney - Mixed function","Cluster 53: Connective tissue cells - ECM organization","","","HPA008612: AB_1857970, HPA017019: AB_2669511","unprognostic (1.05e-1)","prognostic unfavorable (1.03e-5)","unprognostic (4.38e-3)","prognostic favorable (1.17e-4)","unprognostic (5.21e-3)","unprognostic (5.53e-3)","unprognostic (4.60e-2)","unprognostic (8.71e-3)","unprognostic (5.45e-2)","prognostic unfavorable (1.14e-5)","unprognostic (1.42e-3)","unprognostic (2.26e-1)","prognostic unfavorable (7.82e-10)","unprognostic (8.81e-3)","unprognostic (1.73e-2)","unprognostic (3.42e-1)","unprognostic (1.70e-3)",4,0,10,14,"ENST00000507018",0,0,NA,NA
"THSD4","ADAMTSL6, FLJ13710, FVSY9334, PRO34005","ENSG00000187720","Thrombospondin type 1 domain containing 4","Q6ZMP0","15","71096952-71783383","Predicted membrane proteins, Predicted secreted proteins","","Hydrolase","","Evidence at protein level","Evidence at transcript level","Evidence at transcript level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"cervix: 103.7","Cell type enhanced","Detected in many",NA,"Basal squamous epithelial cells: 325.4;Microglial cells: 240.8;Squamous epithelial cells: 111.1","Cancer enhanced","Detected in many",NA,"ovarian cancer: 18.1","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Low cancer specificity","Detected in many",NA,"","Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Mesothelial cells, Heart muscle - Cardiomyocytes, Kidney - Fibroblasts, Testis - Peritubular cells, Thyroid - Thyroid glandular cells","Low region specificity","Detected in all",NA,"","Region enriched","Detected in many",4,"spinal cord: 39.0","","","","","","Secreted - unknown location",NA,NA,NA,NA,"","Cluster 11: Squamous epithelial cells - Epithelial cell function","Cluster 3: HUVEC & TIME - Signal transduction","Cluster 22: Squamous epithelial cells - Keratinization","","","","unprognostic (1.59e-1)","unprognostic (4.38e-2)","unprognostic (3.14e-2)","unprognostic (1.04e-1)","unprognostic (1.52e-1)","unprognostic (2.82e-2)","unprognostic (2.63e-2)","unprognostic (1.14e-1)","unprognostic (7.80e-2)","unprognostic (2.51e-2)","unprognostic (1.13e-1)","unprognostic (9.67e-2)","unprognostic (1.43e-1)","unprognostic (3.64e-1)","unprognostic (1.30e-1)","unprognostic (1.33e-2)","unprognostic (3.01e-3)",1,0,10,11,NA,0,0,NA,NA
"TNFRSF11B","OCIF, OPG, TR1","ENSG00000164761","TNF receptor superfamily member 11b","O00300","8","118923557-118951885","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins","Apoptosis","Receptor","Cancer-related genes, Disease variant","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Group enriched","Detected in many",5,"kidney: 29.9;thyroid gland: 101.8","Cell type enhanced","Detected in many",NA,"Breast glandular cells: 130.5;Collecting duct cells: 65.0;Pancreatic endocrine cells: 32.6;Proximal tubular cells: 107.7;Thymic epithelial cells: 81.8","Cancer enhanced","Detected in all",NA,"renal cancer: 22.7","Low region specificity","Detected in all",NA,"","Immune cell enriched","Detected in single",40,"plasmacytoid DC: 3.9","Lineage enriched","Detected in single",40,"dendritic cells: 3.9","Low cancer specificity","Detected in many",NA,"","Thyroid - Thyroid glandular cells","Low region specificity","Detected in all",NA,"","","",NA,"","CAB034939, HPA058613","Approved","","Approved","Nucleoplasm,Nucleoli,Golgi apparatus","Secreted in other tissues",NA,NA,NA,NA,"Cluster 47: Plasmacytoid DCs - Protein folding","Cluster 7: Kidney - Transmembrane transport","Cluster 20: Connective tissue cells - ECM organization","Cluster 30: Breast - Lactation","Golgi apparatus","Nucleoplasm, Nucleoli","CAB034939: , HPA058613: ","unprognostic (1.39e-2)","prognostic unfavorable (6.22e-4)","unprognostic (5.27e-2)","unprognostic (2.33e-2)","unprognostic (4.27e-3)","unprognostic (1.10e-3)","unprognostic (1.21e-3)","unprognostic (5.50e-2)","unprognostic (9.94e-2)","unprognostic (6.32e-2)","unprognostic (3.53e-2)","unprognostic (2.43e-1)","prognostic favorable (6.79e-4)","unprognostic (1.32e-2)","unprognostic (4.52e-2)","unprognostic (1.61e-3)","prognostic unfavorable (3.88e-4)",12,12,12,36,"ENST00000297350; ENST00000517352; ENST00000521597",0,1,"Blood.Vessel; Brain",NA
"WFDC1","PS20","ENSG00000103175","WAP four-disulfide core domain 1","Q9HC57","16","84294846-84329844","Predicted secreted proteins","","Protease inhibitor, Serine protease inhibitor","","Evidence at protein level","Evidence at transcript level","Evidence at transcript level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"placenta: 99.8;seminal vesicle: 115.1","Group enriched","Detected in many",4,"Bipolar cells: 92.8;Peritubular cells: 261.3;Smooth muscle cells: 103.1;Theca cells: 302.6","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in some",NA,"cervical cancer: 19.1;skin cancer: 64.0","Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Colon - Smooth muscle cells, Heart muscle - Smooth muscle cells, Liver - Hepatic stellate cells, Lung - Smooth muscle cells, Prostate - Smooth muscle cells, Stomach - Fibroblasts, Testis - Peritubular cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA031411","Uncertain","","","","Secreted to extracellular matrix",NA,NA,NA,NA,"","Cluster 12: Smooth muscle tissue - Mixed function","Cluster 20: Connective tissue cells - ECM organization","Cluster 53: Connective tissue cells - ECM organization","","","HPA031411: AB_10600921","unprognostic (6.53e-2)","unprognostic (1.27e-1)","unprognostic (1.61e-2)","unprognostic (8.66e-4)","unprognostic (1.41e-2)","unprognostic (1.50e-3)","unprognostic (1.47e-2)","unprognostic (3.11e-2)","unprognostic (1.60e-1)","unprognostic (2.88e-2)","unprognostic (1.20e-1)","unprognostic (1.12e-1)","unprognostic (3.78e-2)","unprognostic (5.49e-2)","unprognostic (1.71e-1)","unprognostic (6.74e-2)","unprognostic (3.04e-1)",5,0,5,10,NA,0,0,NA,NA
